mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
true,1,,,8,100,27798.600000,35973.034613
true,12,,,8,100,220744.000000,4530.134454
true,16,,,8,100,276953.100000,3610.719649
true,20,,,8,100,322112.200000,3104.508305
true,24,,,8,100,357436.000000,2797.703645
true,28,,,8,100,373666.100000,2676.186039
true,32,,,8,100,353728.000000,2827.030939
true,36,,,8,100,384649.300000,2599.770752
true,4,,,8,100,79328.500000,12605.810018
true,40,,,8,100,,
true,44,,,8,100,227657.400000,4392.565320
true,48,,,8,100,188301.800000,5310.623690
true,52,,,8,100,,
true,56,,,8,100,308087.400000,3245.832189
true,60,,,8,100,192147.700000,5204.329794
true,64,,,8,100,196527.700000,5088.341236
true,8,,,8,100,150683.400000,6636.431087
