Lock Address,Wait Time (us),Hold Time (us),Enter Count,Count
31e61cdcf3e8,133932.27,270169.23,37842,17
31e63f91f3e0,13014379.22,24114382.53,3901625,17
31e6249cadf8,11724.35,25035.08,3389,17
31e63f91f170,13092184.07,23939479.73,3840754,16
31e62b18e808,102797.01,210972.7,29891,16
31e63f91f990,12933887.64,23985423.63,3844365,16
31e63f91fb30,12874476.11,23924229.99,3939325,16
31e63f97c3a0,12872970.16,23960385.01,3947036,16
31e63f97c470,12954382.13,24146994.45,3826668,15
31e63f91f650,13135872.36,24140141.57,3812707,13
31e63f91f0a0,13323331.12,24218153.04,3800323,12
31e63f91f310,12871728.23,24209244.11,3934118,12
31e6357f26d8,143996.69,270254.16,37834,10, WiredTigerRecordStore::_insertRecords
31e63f8a7818,2454.71,9600.77,454,5
31e62b18f518,106713.73,205147.77,26320,1
31e62b18e938,125911.02,151198.72,20251,1
31e63f928750,2166441.1,3342365.29,652687,0
31e63995fb78,3990813.11,6994212.92,1212470,0
31e63f9179c8,1990050.48,3664213.85,606354,0
31e6397be378,308954.5,538849.63,92878,0
31e63f9176c8,153951.89,282607.22,46441,0
31e63f9c6348,22290.34,49608.52,6768,0
31e63fb14f28,33967.92,171072.64,10101,0
31e6249ca348,41977.16,90542.53,12397,0
31e63fb14e48,834.2,1691.49,244,0
6323c173f400,860.98,1596.6,244,0
31e63fabd0b8,463.91,14118.54,135,0
31e6357f32b8,67990.63,135308.7,18525,0
31e63f8a77f0,178.75,22408.39,51,0
31e61cdce6d8,19275.59,43588.87,5827,0
31e63f9287f0,2242298.75,3383333.81,633370,0
31e6397bfb78,4423086.27,7624068.1,1266888,0
31e63f917b48,717552.38,1300847.86,207133,0
31e6153466d8,39244.24,67747.03,8992,0
31e61cdcedf8,36213.89,68832.1,9079,0
31e63f928890,2183610.78,3369725.7,640397,0
31e63946d378,3383380.01,5869311.99,1005186,0
31e63f95e048,1685404.76,3069708.99,502605,0
31e62b18ea68,69986.8,153951.98,20328,0
31e63f90bab0,2157754.7,3334043.85,655286,0
31e63946eb78,4283438.15,7589801.85,1310571,0
31e63f95e4c8,2135551.31,3903944.7,655441,0
31e61cdce808,20780.76,46202.23,6338,0
31e6249ca808,20116.21,44730.17,6108,0
31e63f928930,2154521.72,3401635.45,655668,0
