mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
true,1,,,8,100,28385.770000,35228.919279
true,104,,,8,100,28309.553333,35323.764675
true,112,,,8,100,28331.956667,35295.832609
true,120,,,8,100,28194.810000,35467.520441
true,128,,,8,100,28356.853333,35264.843678
true,16,,,8,100,28184.826667,35480.083373
true,24,,,8,100,28154.350000,35518.490038
true,32,,,8,100,28066.793333,35629.292884
true,40,,,8,100,28149.756667,35524.285764
true,48,,,8,100,28258.913333,35387.064895
true,56,,,8,100,28488.463333,35101.928395
true,64,,,8,100,28248.100000,35400.611015
true,72,,,8,100,28283.953333,35355.736456
true,8,,,8,100,28305.720000,35328.548435
true,80,,,8,100,28180.733333,35485.236959
true,88,,,8,100,28325.836667,35303.458527
true,96,,,8,100,28049.453333,35651.318695
