mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,,,8,100,444861.900000,2247.888614
true,12,,,8,100,237411.000000,4212.104747
false,16,,,8,100,622561.400000,1606.267269
true,16,,,8,100,269382.400000,3712.195006
false,1,,,8,100,48282.200000,20711.566581
true,1,,,8,100,48440.700000,20643.797468
false,20,,,8,100,629353.900000,1588.931124
true,20,,,8,100,292891.300000,3414.235930
false,24,,,8,100,640981.300000,1560.107916
true,24,,,8,100,299936.600000,3334.037927
false,28,,,8,100,623498.400000,1603.853354
true,28,,,8,100,309641.700000,3229.539174
false,32,,,8,100,550837.200000,1815.418421
true,32,,,8,100,305408.000000,3274.308466
false,36,,,8,100,523329.500000,1910.842022
true,36,,,8,100,311390.800000,3211.398667
false,40,,,8,100,517994.900000,1930.520938
true,40,,,8,100,318425.400000,3140.452992
false,44,,,8,100,518615.600000,1928.210412
true,44,,,8,100,323710.100000,3089.183810
false,48,,,8,100,516294.100000,1936.880549
true,48,,,8,100,321920.500000,3106.357004
false,4,,,8,100,167542.500000,5968.634824
true,4,,,8,100,115637.600000,8647.706282
false,8,,,8,100,338590.800000,2953.417518
true,8,,,8,100,162517.700000,6153.175931
