mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,,,8,100,19481.600000,51330.486202
true,1,,,8,100,19364.000000,51642.222681
false,112,,,8,100,739618.600000,1352.048204
true,112,,,8,100,364952.900000,2740.079610
false,128,,,8,100,776587.000000,1287.685733
true,128,,,8,100,387542.400000,2580.362820
false,16,,,8,100,244662.000000,4087.271419
true,16,,,8,100,169823.900000,5888.452685
false,32,,,8,100,540742.000000,1849.310762
true,32,,,8,100,246909.700000,4050.063647
false,48,,,8,100,708411.400000,1411.609130
true,48,,,8,100,286419.800000,3491.378738
false,64,,,8,100,834521.700000,1198.291189
true,64,,,8,100,348338.700000,2870.769168
false,80,,,8,100,783746.000000,1275.923577
true,80,,,8,100,337723.600000,2961.001245
false,96,,,8,100,1139692.400000,877.429735
true,96,,,8,100,350547.500000,2852.680450
