mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,,,8,100,445377.400000,2245.286806
true,12,,,8,100,281481.600000,3552.630083
false,16,,,8,100,538838.700000,1855.842945
true,16,,,8,100,268578.300000,3723.308994
false,1,,,8,100,47948.400000,20855.753268
true,1,,,8,100,48151.700000,20767.698752
false,20,,,8,100,652400.600000,1532.800552
true,20,,,8,100,288200.400000,3469.807814
false,24,,,8,100,663351.900000,1507.495494
true,24,,,8,100,304083.800000,3288.567165
false,28,,,8,100,637477.500000,1568.682816
true,28,,,8,100,310359.300000,3222.071966
false,32,,,8,100,549121.000000,1821.092255
true,32,,,8,100,318563.900000,3139.087637
false,36,,,8,100,530370.100000,1885.475822
true,36,,,8,100,317173.100000,3152.852496
false,40,,,8,100,530058.800000,1886.583149
true,40,,,8,100,308061.700000,3246.102972
false,44,,,8,100,517657.800000,1931.778097
true,44,,,8,100,323424.600000,3091.910758
false,48,,,8,100,509364.400000,1963.231039
true,48,,,8,100,327696.300000,3051.606014
false,4,,,8,100,184028.800000,5433.932080
true,4,,,8,100,101862.600000,9817.145842
false,8,,,8,100,338671.800000,2952.711150
true,8,,,8,100,187914.400000,5321.571950
