mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,,,8,100,20494.210000,48794.269211
false,104,,,8,100,290927.776667,3437.279216
false,112,,,8,100,283865.566667,3522.794299
false,120,,,8,100,,
false,128,,,8,100,333121.700000,3001.905910
false,16,,,8,100,365583.973333,2735.349668
false,24,,,8,100,418880.410000,2387.316227
false,32,,,8,100,,
false,40,,,8,100,422822.653333,2365.057766
false,48,,,8,100,366699.896667,2727.025584
false,56,,,8,100,398355.166667,2510.322656
false,64,,,8,100,344484.896667,2902.884886
false,72,,,8,100,313892.190000,3185.807203
false,8,,,8,100,172107.730000,5810.314272
false,80,,,8,100,315095.653333,3173.639463
false,88,,,8,100,,
false,96,,,8,100,321487.293333,3110.542845
