mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,,,8,100,9257.900000,108015.856728
true,1,,,8,100,9153.500000,109247.828699
false,112,,,8,100,474700.000000,2106.593638
true,112,,,8,100,218182.700000,4583.314809
false,128,,,8,100,532951.600000,1876.342992
true,128,,,8,100,197989.700000,5050.767792
false,144,,,8,100,,
true,144,,,8,100,213266.100000,4688.977761
false,16,,,8,100,94851.300000,10542.818074
true,16,,,8,100,81376.400000,12288.575066
false,32,,,8,100,166275.700000,6014.107894
true,32,,,8,100,126239.000000,7921.482268
false,48,,,8,100,250808.700000,3987.102521
true,48,,,8,100,189003.700000,5290.901713
false,64,,,8,100,316121.500000,3163.340678
true,64,,,8,100,193661.000000,5163.662276
false,80,,,8,100,407874.600000,2451.733940
true,80,,,8,100,222556.200000,4493.247099
false,96,,,8,100,340361.200000,2938.055219
true,96,,,8,100,200940.400000,4976.600027
