mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
true,12,,,8,100,218839.800000,4569.552705
true,16,,,8,100,252570.300000,3959.293710
true,1,,,8,100,45291.700000,22079.100586
true,20,,,8,100,255224.100000,3918.125287
true,24,,,8,100,270219.500000,3700.695176
true,28,,,8,100,271748.900000,3679.867701
true,32,,,8,100,271620.000000,3681.614020
true,36,,,8,100,271270.000000,3686.364139
true,40,,,8,100,267077.400000,3744.232945
true,44,,,8,100,266617.200000,3750.695754
true,48,,,8,100,269522.300000,3710.268130
true,4,,,8,100,97285.100000,10279.066373
true,8,,,8,100,168256.400000,5943.310329
false,12,,,8,100,408299.500000,2449.182524
false,16,,,8,100,468276.200000,2135.491832
false,1,,,8,100,42844.600000,23340.164221
false,20,,,8,100,469171.800000,2131.415400
false,24,,,8,100,472359.800000,2117.030281
false,28,,,8,100,474303.000000,2108.356894
false,32,,,8,100,459414.200000,2176.685005
false,36,,,8,100,475715.900000,2102.094969
false,40,,,8,100,,459414.200000,2176.685005
false,44,,,8,100,,453414.200000,2176.685005
false,48,,,8,100,,469414.200000,2176.685005
false,4,,,8,100,167095.600000,5984.598038
false,8,,,8,100,276330.900000,3618.849720
