mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,,,8,100,200042.400000,4998.940225
true,12,,,8,100,112567.700000,8883.542970
false,16,,,8,100,246142.300000,4062.690566
true,16,,,8,100,124091.900000,8058.543708
false,1,,,8,100,19584.100000,51061.830771
true,1,,,8,100,19584.100000,51061.830771
false,20,,,8,100,287443.600000,3478.943347
true,20,,,8,100,161720.300000,6183.515613
false,24,,,8,100,350339.600000,2854.373300
true,24,,,8,100,137299.600000,7283.342413
false,28,,,8,100,314047.800000,3184.228643
true,28,,,8,100,152061.600000,6576.282244
false,32,,,8,100,322602.400000,3099.790950
true,32,,,8,100,138193.200000,7236.246067
false,4,,,8,100,70288.400000,14227.098639
true,4,,,8,100,57277.000000,17459.014962
false,8,,,8,100,144561.000000,6917.495037
true,8,,,8,100,83757.500000,11939.229323
false,36,,,8,100,362302.500000,2760.124482
true,36,,,8,100,140644.200000,7110.140340
false,40,,,8,100,368944.500000,2710.434767
true,40,,,8,100,132519.900000,7546.036482
false,44,,,8,100,355929.700000,2809.543570
true,44,,,8,100,78075.100000,12808.180841
false,48,,,8,100,340766.400000,2934.561623
true,48,,,8,100,136446.100000,7328.901302
false,52,,,8,100,348422.700000,2870.077064
true,52,,,8,100,68116.200000,14680.795464
false,56,,,8,100,306893.100000,3258.463615
true,56,,,8,100,83038.000000,12042.679255
false,60,,,8,100,330578.200000,3025.002859
true,60,,,8,100,69967.600000,14292.329593
false,64,,,8,100,469113.000000,2131.682558
true,64,,,8,100,,
