mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,,,8,100,587488.400000,1702.161268
true,12,,,8,100,240217.900000,4162.887112
false,16,,,8,100,591560.400000,1690.444458
true,16,,,8,100,272638.800000,3667.856519
false,1,,,8,100,51316.000000,19487.099540
true,1,,,8,100,51665.700000,19355.200839
false,20,,,8,100,541234.000000,1847.629676
true,20,,,8,100,296664.700000,3370.808863
true,24,,,8,100,294352.400000,3397.288420
false,4,,,8,100,200869.400000,4978.359073
true,4,,,8,100,98411.900000,10161.372761
false,8,,,8,100,393820.500000,2539.227897
true,8,,,8,100,173653.000000,5758.610562
