mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,,,8,100,445859.200000,2242.860526
true,12,,,8,100,232799.100000,4295.549253
false,16,,,8,100,619061.300000,1615.348916
true,16,,,8,100,273103.800000,3661.611446
false,1,,,8,100,47780.200000,20929.171498
true,1,,,8,100,48235.700000,20731.532869
false,20,,,8,100,616823.300000,1621.209834
true,20,,,8,100,293156.000000,3411.153106
false,24,,,8,100,635599.100000,1573.318779
true,24,,,8,100,301600.000000,3315.649867
false,28,,,8,100,618155.700000,1617.715407
true,28,,,8,100,307118.300000,3256.074288
false,32,,,8,100,568595.400000,1758.719821
true,32,,,8,100,308007.700000,3246.672080
false,36,,,8,100,521475.500000,1917.635632
true,36,,,8,100,312169.800000,3203.384825
false,40,,,8,100,514403.500000,1943.999215
true,40,,,8,100,313403.400000,3190.775850
false,44,,,8,100,506129.500000,1975.778926
true,44,,,8,100,317253.000000,3152.058452
false,48,,,8,100,503380.200000,1986.569992
true,48,,,8,100,331300.400000,3018.408671
false,4,,,8,100,192882.900000,5184.492767
true,4,,,8,100,99327.700000,10067.685047
false,8,,,8,100,314008.000000,3184.632239
true,8,,,8,100,173001.000000,5780.313409
