mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
true,12,,,8,100,233441.600000,4283.726637
true,16,,,8,100,260584.500000,3837.526791
true,1,,,8,100,45644.000000,21908.684603
true,20,,,8,100,273219.300000,3660.063546
true,24,,,8,100,284369.800000,3516.547819
true,28,,,8,100,278757.300000,3587.349999
true,32,,,8,100,277591.900000,3602.410589
true,36,,,8,100,276491.600000,3616.746404
true,40,,,8,100,276193.100000,3620.655259
true,44,,,8,100,272761.700000,3666.203870
true,48,,,8,100,263140.700000,3800.248308
true,4,,,8,100,102293.100000,9775.830432
true,8,,,8,100,164906.900000,6064.027642
false,12,,,8,100,421451.600000,2372.751699
false,16,,,8,100,468014.800000,2136.684566
false,1,,,8,100,37265.900000,26834.183530
false,20,,,8,100,470472.400000,2125.523198
false,24,,,8,100,471411.200000,2121.290288
false,28,,,8,100,455578.700000,2195.010434
false,32,,,8,100,474876.900000,2105.808895
false,36,,,8,100,475441.600000,2103.307746
false,40,,,8,100,476376.400000,2099.180396
false,44,,,8,100,461496.400000,2166.864140
false,48,,,8,100,459298.300000,2177.234272
false,4,,,8,100,172588.500000,5794.128809
false,8,,,8,100,341955.200000,2924.359682
