mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,,,8,100,408299.500000,2449.182524
false,16,,,8,100,468276.200000,2135.491832
false,1,,,8,100,42844.600000,23340.164221
false,20,,,8,100,469171.800000,2131.415400
false,24,,,8,100,472359.800000,2117.030281
false,28,,,8,100,474303.000000,2108.356894
false,32,,,8,100,459414.200000,2176.685005
false,36,,,8,100,475715.900000,2102.094969
false,40,,,8,100,,
false,44,,,8,100,,
false,48,,,8,100,,
false,4,,,8,100,167095.600000,5984.598038
false,8,,,8,100,276330.900000,3618.849720
