mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,,,8,100,222173.200000,4500.992919
true,12,,,8,100,177470.100000,5634.751995
false,16,,,8,100,279228.400000,3581.297604
true,16,,,8,100,205051.300000,4876.828384
false,1,,,8,100,19883.100000,50293.968244
true,1,,,8,100,19895.000000,50263.885398
false,20,,,8,100,349380.800000,2862.206509
true,20,,,8,100,246947.700000,4049.440428
false,24,,,8,100,420771.300000,2376.587947
true,24,,,8,100,276700.700000,3614.013264
false,28,,,8,100,447728.200000,2233.497912
true,28,,,8,100,301099.000000,3321.166792
true,32,,,8,100,304547.800000,3283.556801
false,4,,,8,100,77753.700000,12861.124294
true,4,,,8,100,64258.100000,15562.240402
false,8,,,8,100,144376.300000,6926.344559
true,8,,,8,100,116634.200000,8573.814542
