mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,,,8,100,20631.500000,48469.573225
false,104,,,8,100,465727.600000,2147.177878
false,112,,,8,100,469418.900000,2130.293433
false,120,,,8,100,469082.100000,2131.822979
false,128,,,8,100,464540.200000,2152.666228
false,16,,,8,100,319258.100000,3132.261954
false,24,,,8,100,431933.500000,2315.171201
false,32,,,8,100,465806.200000,2146.815564
false,40,,,8,100,469436.000000,2130.215833
false,48,,,8,100,468325.400000,2135.267487
false,56,,,8,100,469947.900000,2127.895454
false,64,,,8,100,469271.100000,2130.964383
false,72,,,8,100,467913.800000,2137.145773
false,8,,,8,100,164164.200000,6091.462085
false,80,,,8,100,468367.000000,2135.077834
false,88,,,8,100,470490.200000,2125.442783
false,96,,,8,100,469226.200000,2131.168294
true,1,,,8,100,20736.800000,48223.448169
true,16,,,8,100,161544.800000,6190.233298
true,24,,,8,100,176357.600000,5670.297169
true,32,,,8,100,162271.600000,6162.507796
true,40,,,8,100,168546.600000,5933.077262
true,48,,,8,100,163925.700000,6100.324720
true,56,,,8,100,166508.800000,6005.688588
true,64,,,8,100,152503.300000,6557.235155
true,72,,,8,100,162460.100000,6155.357531
true,8,,,8,100,108339.400000,9230.252337
true,80,,,8,100,157555.400000,6346.973826
true,88,,,8,100,161780.300000,6181.222312
true,104,,,8,100,167650.500000,5964.789846
true,112,,,8,100,166257.400000,6014.769869
true,120,,,8,100,165182.100000,6053.924729
true,128,,,8,100,156563.800000,6387.172514
true,96,,,8,100,169249.800000,5908.426480
