mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
true,1,,,8,100,28034.130000,35670.805550
true,12,,,8,100,221838.170000,4507.790521
true,16,,,8,100,285651.760000,3500.766108
true,20,,,8,100,319394.926667,3130.920113
true,24,,,8,100,333909.943333,2994.819471
true,28,,,8,100,341520.673333,2928.080430
true,32,,,8,100,347726.276667,2875.825231
true,36,,,8,100,262484.206667,3809.753024
true,4,,,8,100,83117.996667,12031.088815
true,40,,,8,100,220008.903333,4545.270600
true,44,,,8,100,287275.583333,3480.978050
true,48,,,8,100,204703.733333,4885.108756
true,52,,,8,100,190741.373333,5242.701059
true,56,,,8,100,210028.610000,4761.256097
true,60,,,8,100,210271.806667,4755.749313
true,64,,,8,100,210109.333333,4759.426838
true,8,,,8,100,153733.220000,6504.774960
