mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,,,8,100,19325.100000,51746.174664
true,1,,,8,100,18703.400000,53466.214699
false,104,,,8,100,753973.300000,1326.306913
true,104,,,8,100,368641.100000,2712.665517
false,112,,,8,100,754826.400000,1324.807929
true,112,,,8,100,353868.200000,2825.910890
false,120,,,8,100,764844.700000,1307.454964
true,120,,,8,100,358575.700000,2788.811400
false,128,,,8,100,783136.000000,1276.917419
true,128,,,8,100,373505.800000,2677.334596
false,16,,,8,100,244459.500000,4090.657144
true,16,,,8,100,166964.300000,5989.304300
false,24,,,8,100,390437.900000,2561.226766
true,24,,,8,100,217928.200000,4588.667277
false,32,,,8,100,540463.800000,1850.262682
true,32,,,8,100,258031.400000,3875.497323
false,40,,,8,100,623635.300000,1603.501277
true,40,,,8,100,275812.100000,3625.656742
false,48,,,8,100,705465.100000,1417.504565
true,48,,,8,100,295960.700000,3378.826986
false,56,,,8,100,819959.300000,1219.572728
true,56,,,8,100,303164.500000,3298.539242
false,64,,,8,100,859952.900000,1162.854384
true,64,,,8,100,312114.600000,3203.951369
false,72,,,8,100,788996.800000,1267.432263
true,72,,,8,100,326789.200000,3060.076649
false,8,,,8,100,130660.500000,7653.422419
true,8,,,8,100,92955.800000,10757.801019
false,80,,,8,100,780754.900000,1280.811686
true,80,,,8,100,329420.000000,3035.638395
false,88,,,8,100,825665.400000,1211.144369
true,88,,,8,100,358657.200000,2788.177681
false,96,,,8,100,766056.200000,1305.387255
true,96,,,8,100,364313.700000,2744.887167
