mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,12,,,8,100,421451.600000,2372.751699
false,16,,,8,100,468014.800000,2136.684566
false,1,,,8,100,37265.900000,26834.183530
false,20,,,8,100,470472.400000,2125.523198
false,24,,,8,100,471411.200000,2121.290288
false,28,,,8,100,455578.700000,2195.010434
false,32,,,8,100,474876.900000,2105.808895
false,36,,,8,100,475441.600000,2103.307746
false,40,,,8,100,,
false,44,,,8,100,,
false,48,,,8,100,,
false,4,,,8,100,172588.500000,5794.128809
false,8,,,8,100,341955.200000,2924.359682
