mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
true,1,,,8,100,27549.800000,36297.904159
true,12,,,8,100,218042.800000,4586.255542
true,16,,,8,100,290580.800000,3441.383601
true,20,,,8,100,375725.500000,2661.517517
true,24,,,8,100,381916.800000,2618.371331
true,28,,,8,100,367311.900000,2722.481902
true,32,,,8,100,,
true,36,,,8,100,388297.300000,2575.346262
true,4,,,8,100,79061.700000,12648.349327
true,40,,,8,100,278680.300000,3588.341192
true,44,,,8,100,,
true,48,,,8,100,194441.500000,5142.935022
true,52,,,8,100,197526.800000,5062.604163
true,56,,,8,100,200682.500000,4982.995528
true,60,,,8,100,198977.200000,5025.701437
true,64,,,8,100,201905.900000,4952.802271
true,8,,,8,100,167833.700000,5958.278939
