mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,,,8,100,9265.600000,107926.092212
true,1,,,8,100,9155.600000,109222.770763
false,104,,,8,100,476032.500000,2100.696906
true,104,,,8,100,211342.200000,4731.662678
false,112,,,8,100,550445.500000,1816.710283
true,112,,,8,100,210115.100000,4759.296214
false,120,,,8,100,506597.000000,1973.955629
true,120,,,8,100,215130.200000,4648.347838
false,128,,,8,100,509512.600000,1962.660001
true,128,,,8,100,217474.500000,4598.240253
false,16,,,8,100,94701.700000,10559.472533
true,16,,,8,100,76007.200000,13156.648318
false,24,,,8,100,122658.600000,8152.710042
true,24,,,8,100,102788.400000,9728.724253
false,32,,,8,100,151072.600000,6619.334016
true,32,,,8,100,137109.300000,7293.451283
false,40,,,8,100,194211.700000,5149.020373
true,40,,,8,100,166382.500000,6010.247472
false,48,,,8,100,244560.600000,4088.966089
true,48,,,8,100,197221.000000,5070.453958
false,56,,,8,100,269403.800000,3711.900129
true,56,,,8,100,209961.500000,4762.777938
false,64,,,8,100,298406.800000,3351.130068
true,64,,,8,100,231162.100000,4325.968660
false,72,,,8,100,355522.300000,2812.763081
true,72,,,8,100,227741.500000,4390.943240
false,8,,,8,100,50140.200000,19944.076809
true,8,,,8,100,47706.000000,20961.723892
false,80,,,8,100,395566.900000,2528.017385
true,80,,,8,100,252251.600000,3964.295965
false,88,,,8,100,412085.000000,2426.683815
true,88,,,8,100,225363.600000,4437.273810
false,96,,,8,100,448503.100000,2229.638992
true,96,,,8,100,215535.400000,4639.609085
