mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,36,,,8,100,362302.500000,2760.124482
true,36,,,8,100,140644.200000,7110.140340
false,40,,,8,100,368944.500000,2710.434767
true,40,,,8,100,132519.900000,7546.036482
false,44,,,8,100,355929.700000,2809.543570
true,44,,,8,100,78075.100000,12808.180841
false,48,,,8,100,340766.400000,2934.561623
true,48,,,8,100,136446.100000,7328.901302
false,52,,,8,100,348422.700000,2870.077064
true,52,,,8,100,68116.200000,14680.795464
false,56,,,8,100,306893.100000,3258.463615
true,56,,,8,100,83038.000000,12042.679255
false,60,,,8,100,330578.200000,3025.002859
true,60,,,8,100,69967.600000,14292.329593
false,64,,,8,100,469113.000000,2131.682558
true,64,,,8,100,,
