mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,36,,,8,100,466767.000000,2142.396528
true,36,,,8,100,312437.800000,3200.637055
false,40,,,8,100,472420.300000,2116.759166
true,40,,,8,100,327466.600000,3053.746550
false,44,,,8,100,471946.300000,2118.885136
true,44,,,8,100,331917.500000,3012.796855
false,48,,,8,100,468745.200000,2133.355179
true,48,,,8,100,332237.100000,3009.898654
false,52,,,8,100,469360.500000,2130.558494
true,52,,,8,100,339721.800000,2943.585016
false,56,,,8,100,470216.500000,2126.679944
true,56,,,8,100,344784.300000,2900.364083
false,60,,,8,100,475012.000000,2105.209974
true,60,,,8,100,336006.200000,2976.135559
false,64,,,8,100,460521.300000,2171.452222
true,64,,,8,100,338894.200000,2950.773427
