mode,thread_number,load_operations,run_operations,key_size(B),value_size(B),overall_throughput(IOPS),average_latency(ns)
false,1,,,8,100,17697.806667,56504.176977
true,1,,,8,100,18297.623333,54651.906523
false,104,,,8,100,,
true,104,,,8,100,242412.093333,4125.206735
false,112,,,8,100,702964.883333,1422.546167
true,112,,,8,100,251476.910000,3976.508221
false,120,,,8,100,,
true,120,,,8,100,219084.580000,4564.447210
false,128,,,8,100,697724.983333,1433.229458
true,128,,,8,100,205110.606667,4875.418274
false,136,,,8,100,632822.100000,1580.222941
true,136,,,8,100,208756.476667,4790.270539
true,144,,,8,100,,
false,16,,,8,100,231025.326667,4328.529752
true,16,,,8,100,162420.333333,6156.864596
false,24,,,8,100,,
true,24,,,8,100,205905.796667,4856.589840
false,32,,,8,100,,
true,32,,,8,100,227416.000000,4397.227987
false,40,,,8,100,603155.483333,1657.947292
true,40,,,8,100,226033.050000,4424.131781
false,48,,,8,100,,
true,48,,,8,100,244794.306667,4085.062327
false,56,,,8,100,823140.376667,1214.859614
true,56,,,8,100,233740.256667,4278.253195
false,64,,,8,100,838908.653333,1192.024896
true,64,,,8,100,229448.466667,4358.277109
false,72,,,8,100,835785.820000,1196.478782
true,72,,,8,100,237513.390000,4210.288944
false,8,,,8,100,125571.753333,7963.574398
true,8,,,8,100,77031.703333,12981.668024
false,80,,,8,100,808849.440000,1236.324031
true,80,,,8,100,225359.560000,4437.353357
false,88,,,8,100,823475.763333,1214.364824
true,88,,,8,100,220817.776667,4528.620907
false,96,,,8,100,805818.126667,1240.974814
true,96,,,8,100,217045.246667,4607.334256
